patient,TP53,BRCA1
TCGA-A2-A0ST,5.9191,2.2019
TCGA-E9-A1RE,5.5653,3.9289
TCGA-A2-A25A,5.6597,2.128
TCGA-C8-A1HK,3.1458,1.5514
TCGA-AR-A0TR,4.7544,2.1345
TCGA-AC-A2B8,5.853,1.9034
TCGA-E2-A1LG,5.9194,2.7007
TCGA-A7-A6VW,5.7055,0.9642
TCGA-AC-A3W7,5.3481,1.4911
TCGA-E2-A1LK,3.0056,2.1702
TCGA-B6-A0RT,6.3539,1.412
TCGA-BH-A0HB,4.7104,0.6517
TCGA-C8-A3M7,4.927,1.642
TCGA-D8-A1Y3,2.5487,3.1278
TCGA-A8-A07C,2.9432,-0.5543
TCGA-A8-A06U,3.0252,2.9032
TCGA-GI-A2C9,5.7924,-0.8599
TCGA-D8-A73W,4.5868,2.004
TCGA-E9-A245,4.9041,2.6962
TCGA-B6-A0X0,6.7442,2.8361
TCGA-A8-A06Q,5.4835,2.6043
TCGA-E9-A1R0,5.033,2.8858
TCGA-B6-A0RO,5.5552,1.4704
TCGA-E9-A1NA,5.1607,1.5316
TCGA-BH-A0DZ,5.0126,1.5266
TCGA-AN-A0XP,5.0734,2.6208
TCGA-EW-A6S9,4.8069,2.8582
TCGA-AQ-A54O,5.3551,0.9568
TCGA-BH-A0WA,6.601,1.7575
TCGA-BH-AB28,6.2167,2.9929
TCGA-A8-A09N,6.1869,2.9469
TCGA-E2-A15A,5.1635,3.945
TCGA-E9-A2JT,5.527,2.6738
TCGA-BH-A0HQ,6.2192,2.8014
TCGA-E2-A3DX,5.0436,2.3677
TCGA-E2-A1L6,5.696,2.6738
TCGA-B6-A0I2,2.8402,1.5415
TCGA-D8-A73X,5.6088,2.3871
TCGA-A8-A084,3.2647,2.9562
TCGA-A7-A2KD,3.6254,4.7819
TCGA-AR-A252,5.2032,2.0465
TCGA-AR-A24L,5.1803,3.7248
TCGA-AN-A0XR,5.6597,2.1894
TCGA-BH-A18V,4.4162,4.3119
TCGA-B6-A0WY,6.1398,2.1734
TCGA-EW-A423,4.8319,2.2113
TCGA-C8-A12X,4.6611,2.036
TCGA-E9-A5UO,3.9992,4.3169
TCGA-BH-A18U,3.7783,4.5167
TCGA-BH-A0C0,3.9147,0.8805
TCGA-A8-A09I,5.5778,2.982
TCGA-E9-A22D,4.8763,2.9109
TCGA-E2-A1LE,5.7996,2.0183
TCGA-E2-A15F,6.4055,3.1195
TCGA-D8-A27L,6.3308,3.0876
TCGA-C8-A12O,5.2365,3.3856
TCGA-D8-A1XG,5.3893,3.2359
TCGA-C8-A8HQ,5.641,3.027
TCGA-E2-A15M,5.5417,2.7161
TCGA-A8-A083,5.7929,2.2513
TCGA-AC-A3TN,4.3017,1.6374
TCGA-B6-A0IC,6.1805,3.2435
TCGA-A2-A0CW,3.0163,3.2282
TCGA-A8-A092,6.0162,5.07
TCGA-D8-A1XS,5.0365,4.3765
TCGA-BH-A18Q,4.0375,2.8361
TCGA-AO-A12B,4.9594,3.0323
TCGA-AC-A3EH,5.366,2.5036
TCGA-A7-A26F,4.8138935787,2.0111307959
TCGA-BH-A0B2,5.3886,2.2872
TCGA-AO-A12F,4.9746,2.9507
TCGA-EW-A1P6,5.7869,2.8361
TCGA-GM-A2DF,2.8916,0.099
TCGA-A8-A09Q,3.7237,2.7292
TCGA-AC-A2FF,6.0815,2.3451
TCGA-BH-A18J,5.6725,1.9675
TCGA-C8-A12W,6.0747,4.3342
TCGA-A2-A0YJ,4.1425,2.4518
TCGA-D8-A1XD,5.9253,3.4318
TCGA-AQ-A1H2,4.5748,1.5902
TCGA-AR-A24O,5.3671,3.0533
TCGA-A8-A0AD,4.8233,2.9911
TCGA-A7-A3J1,5.9572,3.0428
TCGA-A2-A0EQ,5.7326,2.2051
TCGA-B6-A402,2.945,3.1162
TCGA-LD-A7W6,5.61,2.8819
TCGA-BH-A1FR,5.3381,3.0446
TCGA-A8-A08B,2.4279,3.1261
TCGA-D8-A1XK,6.556,2.685
TCGA-3C-AAAU,5.445,3.9626
TCGA-BH-A0BT,6.3277,1.5998
TCGA-AO-A03U,4.9878,1.5366
TCGA-OL-A66H,5.5614,2.3308
TCGA-AR-A1AJ,6.7614,3.6054
TCGA-E9-A5UP,4.7698,2.183
TCGA-AC-A8OS,4.5002,1.46
TCGA-BH-A0DT,6.2719,2.3251
TCGA-LL-A7SZ,3.6872,0.8408
TCGA-AN-A0G0,3.5863,3.7825
TCGA-E2-A14Q,5.5352,1.7009
TCGA-A2-A1FZ,5.9957,3.1924
TCGA-OL-A5D6,5.0304,0.7916
